RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30
395204,578,"Warrensburg, MO",msa,MO,163259.0,161644.0,165096.0,169818.0,171773.0,171034.0,165304.0,165293.0,164582.0,165368.0,169998.0,172234.0,172192.0,172803.0,175942.0,179923.0,179266.0,182495.0,187217.0,195126.0,192748.0,187982.0,182587.0,184273.0,186197.0,186624.0,189359.0,197376.0,205735.0,207401.0,204938.0,204783.0,202445.0,209974.0,219497.0,227122.0,224744.0,214017.0,209393.0,202168.0,211735.0,221136.0,228894.0,226239.0,226816.0,233963.0,238067.0,226623.0,226434.0,224342.0,238418.0,240007.0,242421.0,243796.0,244007.0,239417.0,247085.0
394634,579,"Gloversville, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,136194.0,128118.0,132486.0,142898.0,150775.0,144237.0,148666.0,149114.0,155267.0,141384.0,155684.0,145751.0,157966.0,156473.0,155612.0,151263.0,145083.0,153887.0,153192.0,165427.0,169977.0,174255.0,169826.0,167188.0,157805.0,157196.0,146821.0,164125.0,150427.0,152548.0,136014.0,144054.0,147965.0,163438.0,169901.0
394604,580,"Fort Leonard Wood, MO",msa,MO,140302.0,134077.0,134793.0,135207.0,136595.0,139515.0,141297.0,146205.0,147514.0,151517.0,153396.0,154544.0,155772.0,156955.0,153622.0,149728.0,150120.0,151399.0,159741.0,156511.0,157093.0,156407.0,160960.0,162381.0,160582.0,160895.0,163052.0,165758.0,165125.0,163606.0,162331.0,165570.0,169978.0,168619.0,168542.0,171393.0,178351.0,184441.0,181980.0,179465.0,173431.0,178166.0,179403.0,187836.0,189715.0,188870.0,193321.0,199099.0,201406.0,197885.0,190941.0,192070.0,188956.0,181659.0,178413.0,187836.0,203032.0
394993,581,"Poplar Bluff, MO",msa,MO,,,,,,,114362.0,108522.0,110041.0,115063.0,118870.0,112192.0,117480.0,128920.0,128813.0,126616.0,117094.0,117642.0,121288.0,130663.0,132248.0,132463.0,119407.0,120032.0,118305.0,123646.0,125381.0,132216.0,138181.0,141543.0,142442.0,144030.0,148142.0,135509.0,133517.0,129600.0,133579.0,132958.0,131137.0,131400.0,127207.0,132705.0,131740.0,131849.0,132795.0,136113.0,138214.0,142899.0,145996.0,155178.0,149674.0,155631.0,150960.0,148438.0,139557.0,138818.0,147015.0
394562,582,"Elizabeth City, NC",msa,NC,171486.0,183059.0,197357.0,214700.0,222547.0,214485.0,195640.0,179990.0,176462.0,178443.0,171697.0,173482.0,170883.0,172342.0,181224.0,177389.0,184073.0,184631.0,197230.0,207029.0,209443.0,207993.0,193369.0,195307.0,194445.0,210026.0,218346.0,224044.0,223001.0,211557.0,206790.0,206226.0,214962.0,220773.0,222989.0,225351.0,231262.0,225266.0,219370.0,214871.0,226485.0,250000.0,261346.0,263473.0,257166.0,251679.0,245500.0,241028.0,236164.0,235071.0,226749.0,235500.0,235111.0,241898.0,237312.0,252273.0,251981.0
394967,583,"Payson, AZ",msa,AZ,232413.0,225089.0,226042.0,237452.0,245055.0,250066.0,240531.0,225380.0,227527.0,239315.0,259390.0,254923.0,258090.0,257022.0,266092.0,259792.0,252770.0,241755.0,256294.0,259710.0,268395.0,242349.0,252618.0,260658.0,290419.0,298933.0,305865.0,309432.0,314339.0,312282.0,314943.0,304644.0,310501.0,319998.0,353273.0,372231.0,371730.0,360505.0,366288.0,380127.0,390441.0,390207.0,387216.0,395071.0,393334.0,393076.0,384945.0,386770.0,377332.0,377661.0,393163.0,397003.0,376274.0,353374.0,346183.0,345383.0,353741.0
394344,584,"Athens, TN",msa,TN,136823.0,139192.0,134404.0,132192.0,135230.0,125844.0,127368.0,126940.0,134584.0,139863.0,135932.0,139859.0,136371.0,142784.0,143433.0,146598.0,145638.0,137352.0,134287.0,136530.0,145966.0,148290.0,137161.0,135150.0,139725.0,146998.0,153608.0,145405.0,150006.0,147970.0,160668.0,166956.0,171312.0,179290.0,181607.0,188376.0,193250.0,198022.0,206780.0,213923.0,213309.0,217185.0,213330.0,217852.0,214274.0,222155.0,235127.0,231660.0,226939.0,218371.0,222396.0,222128.0,219955.0,215391.0,214212.0,218974.0,226885.0
394571,585,"Enterprise, AL",msa,AL,141883.0,145120.0,140923.0,158028.0,153273.0,159774.0,146350.0,150375.0,142879.0,145337.0,148273.0,141370.0,147402.0,153435.0,155542.0,164766.0,154484.0,153644.0,142334.0,148307.0,161715.0,157049.0,153436.0,149942.0,162625.0,160154.0,155880.0,158983.0,164262.0,164957.0,162533.0,165351.0,172980.0,174491.0,168503.0,166069.0,161459.0,174402.0,180609.0,188104.0,184089.0,180720.0,191481.0,193824.0,195513.0,188257.0,186865.0,194791.0,203908.0,199601.0,196439.0,195258.0,203439.0,195140.0,198877.0,191294.0,199489.0
394339,586,"Ashland, OH",msa,OH,122061.0,122274.0,123350.0,128627.0,131000.0,128624.0,130353.0,122205.0,134363.0,143087.0,144486.0,138004.0,128739.0,142591.0,142262.0,144392.0,139888.0,133227.0,137179.0,129916.0,143188.0,146148.0,149013.0,141642.0,133977.0,137996.0,148887.0,154596.0,161018.0,150341.0,151597.0,143863.0,156661.0,147777.0,149021.0,147168.0,145003.0,152627.0,150672.0,166909.0,175253.0,188969.0,189157.0,174286.0,162937.0,161524.0,172265.0,182928.0,190355.0,199005.0,190887.0,181936.0,160423.0,159870.0,165799.0,171973.0,160405.0
394861,588,"Milledgeville, GA",msa,GA,174494.0,166802.0,161873.0,154171.0,161991.0,155454.0,156539.0,154842.0,152599.0,152055.0,163225.0,170391.0,169991.0,165291.0,161220.0,165291.0,167365.0,184266.0,189620.0,196476.0,202723.0,199923.0,201850.0,201451.0,229605.0,229072.0,224855.0,201506.0,188614.0,168273.0,185873.0,217672.0,249126.0,259377.0,237722.0,255525.0,267631.0,283240.0,259494.0,267587.0,263876.0,258423.0,233165.0,244501.0,274716.0,262848.0,267203.0,248702.0,282367.0,277411.0,277039.0,251579.0,271581.0,300862.0,316287.0,302699.0,284175.0
