RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30
394609,196,"Fort Smith, AR",msa,AR,11179.926605504586,10165.201005025127,9923.806451612903,9321.324626865671,9771.96113074205,9598.22097378277,8970.457055214723,7918.615658362989,9398.880952380952,8187.0034965034965,7644.252032520325,8758.217105263158,7049.294372294372,7986.653266331658,9285.798122065728,7350.461240310077,7523.676363636364,7383.690196078432,7998.2054794520545,7618.82119205298,8171.098859315589,8355.413533834586,8767.684848484849,8663.721854304637,9086.239795918367,9223.273006134968,8462.031914893618,11335.18320610687,8390.57142857143,8740.154838709677,9311.607142857143,8912.485074626866,11816.016393442624,10678.288888888888,7795.988235294118,10448.09090909091,11867.092592592593,11699.833333333334,9930.780109890109,16874.611940298506,15777.507692307692,16209.265486725664,15591.236363636364,16390.89175257732,13127.388888888889,14505.27559055118,13605.639705882353,12992.676470588236,15357.408695652173,25129.409638554218,15962.263157894737,18958.008333333335,16480.485074626864,16996.85026737968,14964.539215686274,16256.782608695652,14592.399193548386,15327.82882882883,11970.364640883978,13641.85625,13329.346368715083,16604.073170731706,13495.425806451613,13738.311688311689
845160,198,"Prescott Valley, AZ",msa,AZ,15901.918149466192,22876.484251968504,18787.18047337278,14857.977961432507,16186.614864864865,15469.526748971193,13390.833030852995,13284.247540983606,13858.996062992126,13741.10455311973,14263.420689655173,11883.5,14501.4,13507.803278688525,12884.131868131868,13888.32271762208,13896.312602291326,13045.72757475083,13531.826825127335,13565.50668896321,14519.766859344894,14788.023255813954,11672.725761772854,14569.923076923076,13147.758389261746,16140.053533190578,16904.871934604904,13054.855633802817,13318.054644808743,13016.911688311688,15111.534591194968,17133.5234375,14816.027906976744,17465.322580645163,14687.823129251701,19997.008403361346,22072.065040650406,,28476.28148148148,,28423.157514124294,31873.56106870229,26813.89523809524,25467.03086419753,25992.408805031446,23239.395833333332,25458.32298136646,22170.47474747475,28394.809523809523,26801.08695652174,26919.058064516128,28512.64055299539,29581.737819025522,27786.55783308931,25632.702189781023,24344.304225352113,20514.23233695652,23859.008893740902,23292.400437636763,23174.451957295372,24913.876404494382,22620.305555555555,22653.490566037737,28048.24375
395161,199,"Topeka, KS",msa,KS,6707.0495867768595,6876.021276595745,5639.450331125828,7117.807453416149,7409.2786885245905,7537.83962264151,7747.401459854014,7400.914163090129,6974.558558558559,6650.145228215768,7214.224358974359,6861.521739130435,6244.586776859504,6548.585858585859,9169.96,7644.59393939394,8341.402234636871,6888.151960784314,6281.201793721973,7030.388625592417,6048.571428571428,7900.896739130435,6671.447204968944,6031.177570093458,6238.293650793651,8599.848275862068,7418.401869158878,6902.690721649485,9189.842105263158,7423.626168224299,8157.168539325843,8861.373913043479,7362.018348623853,7951.91011235955,8534.233333333334,7396.577464788732,7727.714285714285,5935.9375,11611.95652173913,9223.31914893617,10342.283333333333,11641.091954022988,11328.054263565891,10782.91150442478,10921.618181818181,10796.058823529413,8326.831578947369,9059.322033898305,9921.222222222223,10268.0,13602.272727272728,13589.622641509433,12171.6,13334.558558558558,12464.607142857143,12397.814159292035,11765.688679245282,10622.102040816326,21109.55172413793,28137.777777777777,21282.7,,,10668.42857142857
394813,200,"Macon, GA",msa,GA,12166.64347826087,7445.801724137931,8328.530612244898,9542.420289855072,10149.408045977012,11916.232044198896,10838.818181818182,12107.529126213592,9535.409722222223,9049.48275862069,9133.08552631579,9674.711340206186,10013.480263157895,9531.08695652174,11497.832298136645,10101.802139037432,9613.483870967742,9270.96335078534,10613.60752688172,8998.546341463414,10474.890625,9453.333333333334,9444.897959183674,9443.310344827587,10853.888268156425,11153.122270742359,9382.155080213905,8240.129032258064,12282.435483870968,9242.885714285714,11130.661157024793,14253.153153153153,12100.543689320388,12950.0,11188.112359550561,9841.014705882353,13009.113924050633,10776.593220338984,9265.441176470587,,18051.906976744187,12966.326530612245,12805.126050420167,13027.20588235294,11185.241379310344,9984.61946902655,10610.14953271028,11841.191176470587,14511.033707865168,18341.428571428572,20720.018348623853,12219.690476190477,12430.884057971014,16205.333333333334,14896.205555555556,14045.350253807106,17289.275280898877,11930.10294117647,11797.244444444445,11315.383561643835,12162.614213197969,11543.440217391304,12126.894409937888,9947.84
395174,201,"Tyler, TX",msa,TX,11672.348314606741,11646.546052631578,11402.734375,10504.848,11050.1,11062.358662613982,8744.644257703081,11161.120743034056,9232.239700374532,12266.794759825327,9568.492146596858,8419.948979591836,11092.365853658537,14562.94696969697,10668.467065868263,11292.108597285069,10156.01893939394,11030.737931034482,12090.397306397306,10778.904929577464,10686.483606557376,9282.662337662337,8642.933333333332,8660.119658119658,9466.166666666666,13271.045801526718,11256.60752688172,11303.725,10998.32824427481,14158.864,11197.552,9096.2,10506.460869565217,13148.838383838383,10913.513513513513,19838.6,15052.097222222223,12869.565217391304,13598.189655172413,17662.484375,17730.774193548386,16829.474683544304,20869.016574585636,20308.309178743963,18295.481865284975,22667.339869281044,23520.283783783783,19211.793103448275,19048.373626373625,22596.56923076923,20647.234375,16661.39344262295,19459.82233502538,19775.20905923345,20501.511764705883,19452.104234527687,20538.785932721712,19796.243986254296,16787.955823293174,17804.937888198758,18327.12831858407,19528.23,19791.82879377432,15281.23381294964
394361,202,"Barnstable Town, MA",msa,MA,30838.50226244344,29616.365853658535,44874.98775510204,29715.08868501529,27492.635051546393,28770.00177935943,32430.73711340206,30467.16347569956,30336.024203821657,26977.281329923273,26255.354485776807,27001.331606217616,27198.29754601227,29082.066666666666,26266.351898734178,30411.249527410208,25925.868292682928,28259.18209408194,38795.73088235294,31735.06657223796,30550.665217391303,26300.842105263157,24356.32299741602,22818.00581395349,26999.0081300813,37556.661016949154,39557.40924092409,30755.04469273743,27333.46195652174,38947.35694050991,40608.82972136223,38920.86196319018,48089.06060606061,56030.096153846156,49646.01714285714,42434.98165137615,67252.57731958762,73808.47169811321,52272.42028985507,92932.39743589744,55784.666666666664,67634.84090909091,68528.56470588235,57781.11059907834,57213.13127413127,49812.160220994476,44340.49586776859,53010.69642857143,55633.981132075474,72510.90909090909,51055.057971014496,84465.3,100295.85826771654,73255.7728685259,65149.36480686695,74736.99019607843,53189.38390092879,52601.693723723714,50201.10431654676,54198.01869158878,68711.10256410256,46235.089887640446,46565.958333333336,70780.8992248062
394519,203,"Daphne, AL",msa,AL,11712.108958837773,11610.201550387597,11822.182163187856,10521.622222222222,11590.753199268738,12016.412587412588,10779.917445482866,9570.424615384616,11773.677298311444,9969.383886255924,9268.879492600423,9658.407643312103,10480.237476808905,8846.384120171673,10997.1387283237,10354.008,12433.306002928257,12485.591679506933,10509.54781420765,11643.497744360902,10657.468481375357,10015.5936,9423.120454545455,10608.149206349206,11415.897750511247,12981.508645533142,11971.573248407643,8814.272020725388,9753.345372460497,10829.464503042596,12596.796839729119,12485.703463203463,10267.382352941177,13103.105691056911,14683.8658008658,14626.35465116279,18587.29651162791,11196.856209150326,12011.010471204188,15541.013574660634,20137.654639175256,17902.33969465649,19001.41513761468,17072.38048780488,21974.627078384798,17142.180412371134,16345.160990712075,13263.572727272727,17923.305084745763,21540.699386503067,23516.291666666668,28158.007575757576,26331.99746835443,22345.286467486818,22053.726449275364,22872.54181184669,20501.82310469314,21361.29182156134,18801.09708737864,18689.749090909092,17812.39285714286,20223.35714285714,18561.734553775743,17547.36160714286
394378,205,"Bellingham, WA",msa,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40559.43243243243,38144.37777777778,41817.978494623654,41479.29083665339,33755.918644067795,28533.012738853504,27696.19344262295,27822.23076923077,32152.458598726116,28225.553846153845,26369.101123595505,20192.943396226416,24196.21518987342,26977.684782608696
395030,207,"Rochester, MN",msa,MN,9057.608695652174,9434.508196721312,11560.786516853932,9267.174825174825,9699.774336283186,9983.43829787234,9521.91796875,8576.582677165354,8853.848249027238,8333.781481481481,9667.421348314607,6620.19298245614,9889.213483146068,9230.339285714286,8872.268907563026,9945.037267080745,10746.432773109243,9978.696356275304,10270.608208955224,10818.56704980843,10091.44,9577.660256410256,7709.962264150943,8781.329670329671,8822.212962962964,11377.208333333334,10856.146788990825,9366.827586206897,9575.87951807229,10157.283132530121,10785.561290322581,11668.633540372672,10445.758169934641,9881.879194630872,8744.747368421053,9406.17808219178,11105.577777777778,13288.6,13071.539682539682,12100.0,13147.714285714286,13986.987012987012,14693.098484848484,12331.041176470588,11067.247126436781,11956.289308176101,10516.67543859649,12089.795918367347,9323.684210526315,10460.714285714286,13017.66037735849,11223.232323232323,13749.65306122449,14025.128491620111,13834.44387755102,13162.981132075472,13011.412280701754,13191.216216216217,11437.573529411764,11603.076923076924,12733.887096774193,9866.033898305084,14101.364864864865,13355.260416666666
753895,208,"Lafayette, IN",msa,IN,7078.815217391304,7373.545454545455,8258.817204301075,9071.008196721312,8385.408759124088,9748.322147651006,9735.130208333334,8385.335329341317,7655.010471204188,6738.5291005291,6127.223214285715,7262.5,8520.772727272728,7314.905660377359,8835.261363636364,9215.20168067227,8700.755244755244,11136.767605633802,9883.339506172839,9214.579310344827,8703.083333333334,8148.624309392265,6729.381443298969,8588.541666666666,8754.71875,8876.08695652174,9107.5,9411.052631578947,9260.27397260274,9984.550561797752,8667.816091954022,8876.70642201835,11121.046728971962,8596.78494623656,8693.765625,10952.394736842105,8213.235294117647,6750.0,,14013.513513513513,12767.241379310344,10396.263888888889,13147.457627118643,12376.05,11893.141176470588,9779.09090909091,9266.354545454546,10575.892857142857,14743.258620689656,11068.57142857143,14268.421052631578,13947.732394366198,14583.495867768595,12216.9,12345.228723404256,12445.672839506173,12940.111111111111,12208.183823529413,11873.41958041958,9606.430555555555,11076.177215189873,10596.14705882353,11612.672413793103,14409.98
394454,209,"Champaign, IL",msa,IL,5380.224137931034,6406.379518072289,6994.272727272727,6981.42214532872,7239.655080213904,7157.665060240964,6651.376498800959,5966.0,5863.453376205788,6128.04012345679,6413.64406779661,5914.71568627451,7475.589595375723,6255.849397590361,6487.9473684210525,6256.425,6820.75975975976,7087.819371727749,6632.431693989071,6329.245070422535,6569.651558073654,6127.881040892194,6568.556179775281,5954.6551724137935,6549.713286713287,7509.023346303502,8347.234375,8395.30612244898,8037.248554913294,7027.187165775401,8464.307692307691,8094.436548223351,6886.527777777777,6620.7602339181285,7208.308333333333,5393.83950617284,6888.659793814433,8562.728813559323,8432.35294117647,7770.731707317073,10022.077922077922,8777.651515151516,8020.690909090909,9511.203980099503,7457.142857142857,8324.013245033113,8724.771428571428,11459.61403508772,7642.03125,,12346.0,11937.037037037036,12608.823529411764,9948.360655737704,10577.035532994923,8948.029702970298,10995.774869109948,8512.649425287356,11331.700854700855,7594.262295081967,10295.785714285714,9401.113636363636,11552.272727272728,20439.79591836735
394848,210,"Medford, OR",msa,OR,13787.100558659218,13177.874316939891,14812.793103448275,12971.288961038961,14029.894601542417,14692.414215686274,15152.88295687885,14629.0,12957.742222222223,14389.43838028169,12598.294985250737,14890.184782608696,12832.649606299212,11806.063745019921,12066.374213836478,13411.467532467532,13664.144144144144,14916.5,14150.78102189781,12552.949119373778,12342.022831050228,11477.089058524172,10699.954545454546,12852.948529411764,12611.607329842933,13897.23396226415,13093.222222222223,12517.502824858757,12922.004784688996,14766.180952380952,16065.314917127072,15163.776397515529,14755.384615384615,,15652.5125,18663.636363636364,22812.105263157893,28659.24074074074,24184.11111111111,27328.225352112677,19797.831683168315,24804.298780487807,25778.236842105263,23686.11952191235,19833.851301115243,19228.799242424244,21008.345238095237,20356.475806451614,27895.91935483871,21613.735294117647,24490.525139664805,25940.48205128205,25983.13473053892,21906.01376146789,21520.76572668113,21123.957244655583,22410.759668508286,20231.74418604651,17991.040358744394,20852.176470588234,22621.58041958042,24911.956834532375,17799.974842767297,19312.40522875817
845164,211,"Lebanon, NH",msa,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57438.46153846154,31834.975,52397.22222222222,37243.385542168675,27351.816666666666,31882.52380952381,37871.83422459893,32181.307189542484,31941.272727272728,24787.859813084113,30303.595238095237,30549.033898305086,45472.54054054054,47048.275862068964,55488.54716981132
394459,212,"Charlottesville, VA",msa,VA,17298.308823529413,16880.71875,17997.18018018018,16241.603125,19104.625352112675,14890.580745341615,15958.14569536424,16817.365853658535,18989.58608058608,19791.93181818182,12985.293103448275,12810.133333333333,16559.04794520548,30737.345238095237,15850.320197044335,19935.68686868687,19791.37837837838,18630.885448916408,15059.765243902439,21251.258389261744,18101.309677419355,19380.49042145594,13100.772413793104,11042.29906542056,24664.580838323353,34115.934782608696,17028.28310502283,15754.204819277109,16788.485875706214,18367.164021164022,17092.640211640213,20799.03910614525,22859.975,18420.4010989011,22256.01652892562,17930.073529411766,24628.26153846154,21665.652173913044,27080.267605633802,26248.927710843374,23510.675213675215,27138.333333333332,20093.879310344826,24834.016393442624,24592.368,24282.268041237112,30352.202898550724,24262.82857142857,23851.923076923078,26090.354838709678,50213.20754716981,27784.63157894737,44052.392523364484,26332.167832167834,25389.728,34449.13675213675,31552.325581395347,32571.801526717558,21286.906542056076,20180.867924528302,18140.833333333332,27874.590163934427,34494.21875,24999.014084507042
394763,213,"Lake Charles, LA",msa,LA,8171.621212121212,7519.8730964467,7800.235294117647,8271.586046511628,8191.4747899159665,8175.369294605809,9778.268115942028,9449.567944250872,10283.146551724138,7735.2588235294115,8053.734177215189,8260.252100840336,8537.965665236052,8832.546296296296,7792.242152466368,8962.654618473896,10613.384615384615,8274.582677165354,9568.693181818182,8862.140684410646,9191.081481481482,6049.9264214046825,8178.75,6415.160621761658,6736.135714285714,6882.489260143198,8022.2198275862065,11177.935672514619,7459.220930232558,7384.03663003663,7752.090252707581,6953.055837563452,,19075.862068965518,11397.588235294117,11933.866666666667,10330.208333333334,8196.8875,8912.336633663366,8009.722772277228,16680.63157894737,11699.771929824561,10650.322784810127,12090.351063829787,11358.657608695652,11762.490384615385,9447.401234567902,8913.542857142857,9472.265,9128.408536585366,11093.663414634146,10055.839378238343,10545.36595744681,10471.81560283688,9209.527687296417,9894.535928143712,9583.209836065575,8634.48275862069,9117.247148288974,10507.286458333334,9992.474402730375,9500.756097560976,12321.16723549488,10516.321138211382
394773,214,"Las Cruces, NM",msa,NM,7608.492063492064,7395.42718446602,8874.918699186992,8358.83193277311,8320.805194805194,7380.883435582822,8443.651162790698,7578.019512195122,6810.829411764706,6659.259459459459,8670.664179104477,6414.633333333333,6239.04794520548,6671.574626865671,12757.559322033898,8602.848739495797,9247.51,10182.45081967213,9217.910447761195,8154.66,10036.506944444445,7647.148148148148,6252.875968992248,4931.327102803738,6636.573248407643,8915.871621621622,9810.801980198019,7240.640625,9955.78947368421,9008.632183908046,8104.402173913043,8721.318181818182,8285.070588235294,9925.753086419752,12165.327272727272,9364.0,10909.77049180328,8701.546875,12835.657894736842,17415.151515151516,10013.188679245282,12432.912280701754,15013.780487804877,12291.483146067416,11841.617283950618,16440.05617977528,13533.30303030303,13488.150943396226,14574.378378378378,19705.0,17105.16129032258,18246.81818181818,12939.298245614034,16346.795180722891,14423.447916666666,12806.383333333333,13735.439345794393,14800.407079646018,13559.126213592233,11206.0,12100.042105263157,12213.901639344262,12391.910256410256,12417.283582089553
